"Time,X,Y,Z,Sound"
"15209,8.96,0.47,-0.09,2.48"
"15313,9.61,1.04,-3.35,2.50"
"15419,10.52,0.85,-1.81,2.49"
"15523,8.04,1.08,-2.00,2.50"
"15629,10.07,1.01,-1.05,2.52"
"15733,12.47,2.04,0.34,2.50"
"15839,6.76,-3.75,-3.22,2.50"
"15943,12.58,0.19,-1.08,2.51"
"16049,10.79,1.60,-0.89,2.49"
"16153,5.81,1.82,-0.05,2.52"
"16259,8.33,-2.58,-5.45,2.49"
"16363,9.25,0.29,-4.14,2.51"
"16468,8.64,0.55,-0.51,2.50"
"16573,9.38,1.87,-3.13,2.50"
"16678,9.39,0.90,-0.77,2.50"
"16783,11.17,-0.84,-5.23,2.50"
"16888,11.09,1.37,-4.41,2.48"
"16993,8.90,0.37,-5.72,2.50"
"17098,9.16,-0.52,-1.81,2.50"
"17203,12.32,0.34,-2.02,2.51"
"17308,9.73,-0.85,-5.15,2.49"
"17413,12.85,2.06,-2.30,2.51"
"17518,5.74,0.88,-3.62,2.51"
"17623,7.95,-0.70,-2.09,2.51"
"17728,9.91,0.81,0.53,2.51"
"17832,13.84,1.34,1.61,2.51"
"17938,10.62,-6.03,-9.31,2.51"
"18042,8.43,-0.94,-5.25,2.50"
"18148,7.01,-4.06,-2.60,2.49"
"18252,9.92,0.70,-0.49,2.52"
"18358,11.98,-0.85,-0.70,2.50"
"18462,7.77,2.25,-1.27,2.50"
"18568,7.63,0.65,-1.56,2.51"
"18672,8.87,2.04,-1.07,2.50"
"18778,11.12,2.82,1.39,2.50"
"18882,7.93,-2.42,-4.58,2.49"
"18988,10.77,-2.43,-4.10,2.51"
"19092,7.56,2.10,-4.49,2.52"
"19197,11.79,4.90,2.90,2.52"
"19302,7.83,-0.77,-3.76,2.51"
"19407,11.24,-0.23,-1.58,2.49"
"19513,8.52,-2.01,-0.10,2.49"
"19617,9.46,1.80,1.81,2.49"
"19722,11.75,-1.32,-3.68,2.51"
"19827,11.41,1.60,4.92,2.47"
"19933,12.44,0.58,1.58,2.50"
"20037,12.38,0.94,3.13,2.50"
"20143,9.89,0.22,-1.23,2.50"
"20247,8.97,-0.04,-0.92,2.50"
"20353,5.85,2.77,-1.99,2.50"
"20457,6.43,-1.67,-7.82,2.49"
"20561,7.47,0.16,-4.49,2.52"
"20667,11.94,-0.26,-7.02,2.49"
"20771,11.35,5.10,0.41,2.50"
"20877,8.45,2.07,-0.76,2.52"
"20981,5.56,-2.75,-6.29,2.49"
"21087,13.43,-0.83,-1.44,2.50"
"21192,6.28,0.49,0.62,2.50"
"21297,10.55,2.56,2.31,2.51"
"21401,10.14,0.35,-2.78,2.55"
"21507,13.89,-1.64,-2.42,2.51"
"21612,9.61,-0.45,-2.04,2.50"
"21716,8.35,-0.28,-3.44,2.51"
"21822,8.76,1.29,-0.63,2.51"
"21926,11.62,1.58,-1.69,2.54"
"22032,11.73,2.66,-3.74,2.51"
"22136,12.84,1.02,2.50,2.50"
"22242,3.71,3.34,-6.91,2.49"
"22346,6.39,1.85,-3.96,2.51"
"22452,11.43,3.42,2.56,2.50"
"22556,2.28,1.08,-1.33,2.52"
"22662,9.10,2.09,1.10,2.51"
"22766,7.21,2.07,-0.87,2.50"
"22872,6.72,0.14,-3.43,2.50"
"22976,14.11,-0.96,-0.81,2.50"
"23081,9.29,2.06,2.40,2.51"
"23186,6.17,-2.60,-9.33,2.50"
"23290,10.47,0.48,-3.79,2.49"
"23396,13.58,-0.11,-3.34,2.51"
"23501,10.47,-2.03,1.94,2.50"
"23606,6.25,0.93,-2.17,2.51"
"23711,7.84,-0.25,-4.36,2.50"
"23816,7.11,-2.84,-6.28,2.51"
"23921,13.36,4.02,-0.24,2.52"
"24026,8.99,-0.84,1.86,2.50"
"24131,7.78,2.83,-6.12,2.51"
"24236,9.95,5.34,-3.43,2.49"
