=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.28 10:47:00 =~=~=~=~=~=~=~=~=~=~=~=
Time,X,Y,Z,Sound
19559,9.59,0.55,-1.92,2.53
19589,9.64,0.47,-1.94,2.53
19617,9.58,0.50,-1.99,2.53
19646,9.60,0.52,-2.03,2.52
19676,9.52,0.54,-2.00,2.53
19704,9.68,0.54,-1.94,2.52
19734,9.62,0.55,-1.84,2.53
19763,9.58,0.54,-1.90,2.53
19792,9.58,0.54,-2.02,2.53
19821,9.60,0.52,-1.91,2.53
19850,9.62,0.59,-1.87,2.53
19879,9.58,0.54,-1.99,2.53
19908,9.59,0.53,-1.98,2.53
19938,9.52,0.50,-1.91,2.53
19966,9.61,0.48,-1.92,2.53
19996,9.59,0.53,-1.96,2.53
20025,9.65,0.54,-1.86,2.53
20055,9.60,0.54,-1.99,2.53
20083,9.60,0.54,-1.99,2.53
20112,9.56,0.55,-2.03,2.53
20142,9.61,0.56,-1.97,2.53
20170,9.59,0.57,-1.96,2.53
20200,9.57,0.54,-1.98,2.52
20229,9.60,0.51,-1.92,2.53
20258,9.56,0.51,-1.95,2.53
20287,9.53,0.52,-2.00,2.53
20316,9.53,0.46,-2.01,2.52
20345,9.60,0.52,-1.96,2.53
20374,9.56,0.53,-1.94,2.53
20404,9.65,0.49,-1.98,2.52
20432,9.65,0.49,-2.05,2.53
20462,9.59,0.48,-2.00,2.52
20491,9.59,0.50,-1.97,2.53
20520,9.54,0.57,-1.95,2.53
20549,9.55,0.53,-1.97,2.53
20578,9.59,0.53,-1.88,2.53
20608,9.61,0.54,-1.95,2.53
20636,9.59,0.57,-1.96,2.53
20666,9.57,0.44,-1.90,2.53
20695,9.60,0.56,-2.01,2.52
20724,9.57,0.45,-2.06,2.53
20753,9.61,0.53,-2.01,2.53
20782,9.63,0.52,-1.95,2.53
20811,9.55,0.48,-1.90,2.53
20840,9.60,0.57,-1.88,2.54
20870,9.56,0.55,-1.91,2.52
20898,9.59,0.57,-1.99,2.52
20928,9.55,0.57,-2.00,2.53
20957,9.54,0.52,-1.91,2.53
20986,9.65,0.53,-1.90,2.53
21015,9.57,0.55,-1.95,2.53
21044,9.54,0.50,-1.96,2.52
21073,9.55,0.51,-1.89,2.53
21102,9.53,0.52,-2.00,2.53
21132,9.62,0.60,-1.98,2.53
21160,9.55,0.55,-1.97,2.53
21190,9.52,0.54,-1.98,2.53
21219,9.68,0.58,-2.03,2.53
21248,9.58,0.55,-1.92,2.53
21277,9.56,0.52,-1.89,2.53
21306,9.58,0.58,-1.90,2.52
21336,9.54,0.56,-1.98,2.53
21364,9.56,0.61,-1.89,2.52
21394,9.55,0.49,-1.98,2.52
21423,9.57,0.54,-1.94,2.53
21452,9.64,0.50,-2.00,2.53
21481,9.56,0.55,-1.99,2.53
21510,9.55,0.52,-1.89,2.53
21539,9.60,0.50,-1.91,2.53
21568,9.52,0.54,-1.97,2.53
21598,9.55,0.49,-2.15,2.53
21626,9.61,0.58,-2.07,2.53
21656,9.53,0.58,-1.97,2.53
21685,9.55,0.62,-1.94,2.53
21713,9.58,0.52,-1.86,2.53
21743,9.56,0.54,-1.94,2.53
21772,9.59,0.54,-1.96,2.53
21801,9.59,0.55,-1.99,2.53
21830,9.53,0.55,-2.04,2.53
21860,9.39,0.54,-1.76,2.53
21889,9.36,0.46,-1.76,2.53
21918,9.45,0.49,-1.92,2.53
21947,9.31,0.49,-1.81,2.52
21976,9.55,0.56,-1.87,2.53
22005,9.59,0.52,-2.04,2.53
22034,9.59,0.52,-1.91,2.53
22064,9.56,0.56,-1.90,2.53
22092,9.47,0.50,-1.93,2.53
22122,9.62,0.53,-1.89,2.53
22151,9.57,0.52,-1.94,2.53
22179,9.61,0.57,-1.97,2.53
22209,9.64,0.50,-1.95,2.53
22238,9.63,0.51,-2.02,2.53
22267,9.60,0.60,-1.97,2.53
22296,9.50,0.50,-1.89,2.53
22326,9.49,0.48,-2.01,2.53
22354,9.65,0.57,-2.05,2.53
22384,9.48,0.45,-1.91,2.53
22413,9.56,0.57,-1.97,2.53
22441,9.55,0.51,-1.97,2.53
22471,9.56,0.53,-1.92,2.53
22500,9.49,0.49,-1.94,2.53
22530,9.49,0.57,-1.91,2.52
22558,9.65,0.51,-1.90,2.53
22588,9.52,0.49,-1.89,2.53
22617,9.57,0.50,-1.94,2.53
22645,9.56,0.57,-1.97,2.53
22675,9.57,0.57,-2.03,2.53
22704,9.52,0.61,-1.91,2.53
22733,9.64,0.53,-1.94,2.53
22762,9.66,0.56,-1.89,2.54
22792,9.56,0.53,-1.95,2.53
22820,9.58,0.58,-1.97,2.53
22850,9.57,0.56,-2.01,2.53
22879,9.57,0.48,-1.94,2.53
22907,9.57,0.50,-1.96,2.53
22937,9.61,0.56,-2.05,2.53
22966,9.61,0.52,-1.94,2.53
22995,9.61,0.56,-1.97,2.52
23024,9.65,0.49,-2.02,2.53
23054,9.58,0.51,-1.93,2.52
23083,9.62,0.57,-1.93,2.52
23111,9.55,0.50,-2.04,2.53
23141,9.54,0.56,-1.92,2.53
23170,9.65,0.52,-2.02,2.53
23199,9.59,0.55,-1.96,2.53
23228,9.57,0.55,-1.93,2.53
23258,9.62,0.55,-1.97,2.53
23286,9.65,0.55,-1.99,2.53
23315,9.61,0.56,-1.92,2.53
23345,9.63,0.54,-1.94,2.52
23373,9.61,0.53,-1.99,2.53
23403,9.55,0.52,-1.96,2.53
23432,9.72,0.63,-2.05,2.53
23461,9.61,0.54,-1.97,2.53
23490,9.73,0.58,-1.92,2.53
23520,9.68,0.57,-2.04,2.53
23548,9.63,0.49,-1.96,2.53
23577,9.49,0.49,-1.95,2.53
23607,9.55,0.60,-1.95,2.53
23635,9.67,0.51,-2.04,2.53
23665,9.58,0.53,-1.95,2.52
23694,9.63,0.55,-1.95,2.53
23724,9.66,0.51,-2.01,2.53
23752,9.56,0.55,-1.98,2.53
23781,9.56,0.55,-2.01,2.53
23811,9.58,0.52,-1.99,2.53
23839,9.54,0.57,-1.88,2.53
23869,9.61,0.53,-1.95,2.53
23898,9.59,0.50,-2.00,2.53
23927,9.67,0.52,-2.01,2.53
23956,9.61,0.58,-1.93,2.53
23986,9.60,0.58,-1.97,2.53
24014,9.58,0.55,-1.95,2.53
24043,9.61,0.52,-1.93,2.53
24073,9.58,0.53,-2.03,2.53
24101,9.47,0.54,-1.93,2.53
24131,9.56,0.54,-1.93,2.53
24160,9.61,0.54,-2.01,2.53
24189,9.54,0.51,-1.97,2.53
24218,9.60,0.57,-1.95,2.53
24248,9.64,0.50,-2.01,2.53
24276,9.56,0.55,-1.94,2.53
24305,9.59,0.54,-1.94,2.53
24335,9.66,0.57,-2.01,2.53
24364,9.52,0.56,-1.97,2.53
24393,9.56,0.54,-1.95,2.52
24422,9.61,0.60,-1.98,2.52
24452,9.65,0.61,-2.05,2.53
24480,9.50,0.49,-1.93,2.53
24509,9.60,0.54,-1.95,2.53
24539,9.58,0.58,-1.94,2.54
24567,9.26,0.42,-1.77,2.53
24597,9.50,0.45,-1.95,2.53
24626,9.46,0.50,-1.97,2.53
24655,9.49,0.56,-1.93,2.53
24684,9.60,0.57,-2.00,2.53
24714,9.63,0.53,-2.00,2.53
24742,9.44,0.45,-1.92,2.53
24771,9.55,0.48,-2.04,2.53
24801,9.48,0.51,-2.04,2.53
24829,9.50,0.56,-1.89,2.53
24859,9.53,0.58,-1.90,2.53
24888,9.48,0.51,-1.87,2.53
24918,9.47,0.57,-1.96,2.53
24946,9.52,0.57,-1.97,2.53
24975,9.53,0.56,-1.93,2.53
25005,9.52,0.48,-1.88,2.53
25033,9.59,0.50,-2.01,2.53
25063,9.51,0.45,-1.96,2.53
25092,9.49,0.55,-1.97,2.53
25121,9.62,0.50,-1.94,2.53
25150,9.64,0.54,-1.99,2.53
25180,9.53,0.60,-1.91,2.53
25208,9.56,0.51,-1.98,2.53
25237,9.66,0.52,-1.92,2.53
25267,9.52,0.57,-1.91,2.53
25295,9.56,0.48,-1.93,2.53
25325,9.59,0.52,-1.95,2.53
25354,9.55,0.46,-1.92,2.53
25383,9.53,0.51,-1.97,2.53
25412,9.59,0.57,-2.01,2.53
25441,9.55,0.48,-1.90,2.53
25470,9.58,0.46,-1.95,2.53
25499,9.61,0.54,-1.99,2.53
25529,9.58,0.51,-1.97,2.53
25558,9.53,0.57,-1.95,2.53
25587,9.65,0.64,-2.02,2.54
25616,9.55,0.55,-1.95,2.53
25646,9.56,0.58,-2.00,2.53
25674,9.64,0.49,-1.89,2.52
25703,9.60,0.54,-1.97,2.53
25733,9.59,0.52,-1.95,2.53
25761,9.64,0.54,-1.98,2.52
25791,9.60,0.55,-2.07,2.53
25820,9.68,0.55,-2.01,2.53
25849,9.55,0.51,-1.94,2.52
25878,9.63,0.48,-1.91,2.53
25907,9.60,0.55,-1.90,2.53
25936,9.57,0.49,-1.97,2.53
25965,9.52,0.51,-1.90,2.53
25995,9.61,0.56,-2.05,2.53
26023,9.57,0.56,-1.96,2.53
26053,9.59,0.53,-2.00,
