Time,X,Y,Z,Sound
2440,12.25,-1.64,-0.54,2.53
2469,9.68,-0.04,1.70,2.54
2498,13.01,1.24,-0.79,2.53
2527,12.56,-0.23,-0.19,2.54
2557,10.85,-1.67,-1.81,2.53
2587,10.34,-3.27,-3.38,2.53
2618,3.49,-1.54,-1.20,2.53
2647,9.07,-1.78,-4.56,2.54
2675,13.99,-2.29,1.48,2.53
2705,8.45,-3.85,-5.81,2.53
2734,13.35,-0.34,1.75,2.54
2763,12.08,-0.34,1.13,2.53
2792,15.71,-2.29,1.68,2.52
2822,10.73,0.51,1.24,2.54
2849,8.01,-2.39,-2.88,2.53
2879,10.94,1.13,-0.30,2.54
2908,15.47,-0.57,4.03,2.55
2936,7.04,1.13,-4.24,2.54
2965,9.73,-1.46,0.66,2.54
2993,6.61,-1.72,-4.97,2.56
3022,3.70,-1.24,-4.89,2.55
3051,12.64,-5.95,-5.23,2.55
3082,6.13,-5.03,-2.48,2.52
3110,10.43,-4.33,-2.00,2.53
3140,12.06,-1.13,2.56,2.53
3170,7.51,0.41,1.99,2.53
3196,6.82,-1.70,1.67,2.54
3225,14.13,-4.49,-1.97,2.53
3255,9.52,-0.11,0.57,2.55
3283,12.06,-0.74,1.57,2.53
3312,10.47,1.43,4.31,2.54
3340,11.84,-7.19,-8.60,2.53
3371,13.99,-3.63,-1.76,2.54
3400,6.52,2.22,-1.52,2.55
3429,9.90,-3.52,1.01,2.54
3457,9.36,1.14,-3.09,2.54
3485,11.46,-0.07,-1.08,2.51
3515,6.08,0.88,-4.83,2.53
3544,15.14,-0.71,4.58,2.55
3572,17.75,-5.07,4.01,2.54
3601,9.54,-0.96,0.48,2.54
3630,8.70,3.20,-2.94,2.54
3657,12.33,-0.09,0.49,2.54
3687,10.56,-0.79,0.08,2.54
3716,6.67,-0.06,-1.39,2.54
3745,10.23,-3.36,0.96,2.55
3774,14.01,-2.10,0.30,2.54
3803,12.28,0.40,3.52,2.53
3831,8.26,-3.73,-3.48,2.53
3860,9.77,-3.31,-5.15,2.54
3890,11.07,-5.42,-0.75,2.56
3919,11.37,1.84,-1.26,2.54
3949,12.24,-2.09,0.95,2.54
3978,10.91,-2.18,-3.17,2.54
4007,7.00,2.07,-5.65,2.52
4036,12.78,-2.11,1.77,2.54
4065,12.71,-2.94,-0.52,2.54
4096,11.83,-3.22,-3.08,2.53
4125,6.36,-3.56,-3.27,2.54
4155,8.93,-2.99,-6.41,2.54
4184,8.18,-2.46,-4.99,2.53
4213,7.69,1.02,-6.01,2.54
4241,10.56,-0.72,0.96,2.55
4270,11.62,-1.86,1.34,2.54
4299,9.64,-4.29,-0.28,2.53
4328,10.49,-0.23,-0.93,2.54
4359,11.63,-2.38,-0.69,2.54
4388,6.20,0.09,-0.92,2.52
4417,12.40,3.30,1.96,2.53
4445,8.46,1.77,2.59,2.54
4471,6.87,-0.74,-0.73,2.54
4501,6.68,-2.88,-0.23,2.54
4530,10.46,-3.29,-4.38,2.54
4560,7.89,-1.52,-0.58,2.54
4589,8.90,1.08,3.45,2.55
4617,10.74,-2.67,-4.94,2.54
4646,8.60,0.88,0.62,2.54
4673,7.67,1.75,-3.32,2.54
4702,11.26,-0.87,2.55,2.54
4730,8.61,-0.61,0.32,2.55
4759,7.86,-2.19,-1.33,2.53
4788,7.63,-2.83,-4.64,2.54
4817,6.00,-2.33,-0.79,2.53
4846,10.56,-1.66,0.00,2.53
4876,6.60,-2.08,-0.98,2.55
4904,10.46,-2.32,-2.41,2.54
4934,5.40,-1.48,-4.91,2.54
4964,10.43,1.47,2.05,2.54
4992,9.62,-5.51,-3.09,2.54
5021,5.09,-5.90,-1.46,2.54
5050,2.51,-3.34,0.16,2.54
5079,8.85,-0.75,-3.01,2.54
5107,13.20,-4.19,-6.17,2.54
5137,10.05,-4.11,-7.38,2.53
5168,6.80,-5.25,-2.03,2.55
5196,4.24,1.19,-5.89,2.53
5225,14.46,0.61,3.20,2.54
5253,10.51,-0.26,0.74,2.53
5282,7.67,-3.88,-3.77,2.53
5311,2.68,-5.03,-3.44,2.54
5340,5.71,-3.79,-4.74,2.54
5369,12.53,-2.15,-1.38,2.54
5399,9.54,0.76,-1.14,2.54
5428,13.67,1.01,0.74,2.54
5455,13.35,-3.23,-6.46,2.53
5486,10.52,-1.30,-3.61,2.55
5516,15.01,0.41,0.42,2.54
5544,14.05,-0.37,-5.14,2.53
5574,10.78,0.96,-1.68,2.54
5603,6.34,-0.72,-7.69,2.54
5633,4.82,3.94,-5.03,2.55
5660,14.08,-3.39,-2.95,2.53
5691,6.39,-1.61,-0.30,2.55
5720,7.40,-1.44,-1.50,2.54
5749,5.18,-1.45,-0.86,2.53
5778,6.94,-1.52,0.59,2.54
5806,-0.04,-7.07,-1.48,2.53
5836,7.58,-8.36,-4.69,2.54
5865,7.16,-2.20,-1.76,2.54
5895,6.30,-0.06,-1.09,2.53
5923,0.08,0.92,-1.91,2.54
5952,10.24,-4.73,-3.54,2.54
5982,8.19,-5.60,-4.05,2.55
6011,0.50,0.28,-8.21,2.54
6039,14.42,-1.38,1.15,2.54
6068,11.69,1.97,2.69,2.54
6096,10.42,0.74,-2.37,2.53
6125,10.22,0.06,2.59,2.55
6154,9.64,-2.27,-4.37,2.53
6182,8.81,-5.63,-5.72,2.54
6212,7.05,-2.35,-1.51,2.54
6241,9.90,1.51,3.56,2.53
6267,14.03,-2.98,2.16,2.54
6297,5.77,-3.79,-0.56,2.52
6326,8.36,-2.62,-1.29,2.53
6355,6.42,-0.63,-7.20,2.52
6384,9.74,-5.38,-4.20,2.53
6414,10.13,-1.22,-6.58,2.54
6444,10.98,-2.43,-4.27,2.55
6474,8.49,-4.62,-2.53,2.54
6503,10.68,-3.03,0.38,2.55
6532,11.48,1.68,-1.15,2.54
6561,2.50,2.74,-7.19,2.54
6589,16.95,-6.04,-0.21,2.53
6620,13.65,-2.52,2.25,2.53
6648,12.69,0.88,-0.96,2.54
6678,10.56,-1.40,-0.42,2.54
6708,14.36,-0.99,0.28,2.55
6736,9.05,0.72,2.05,2.55
6764,6.26,-3.13,-3.30,2.54
6793,7.52,-2.49,-2.71,2.53
6822,9.71,-3.16,-1.75,2.54
6851,9.21,0.06,-0.96,2.54
6880,11.59,1.32,-0.53,2.54
6908,11.94,-0.45,-2.77,2.54
6939,8.88,0.67,0.16,2.54
6966,8.96,-1.61,-4.83,2.52
6994,8.97,-2.02,-3.37,2.54
7024,11.41,-3.78,-1.89,2.56
7054,9.34,0.68,-0.82,2.55
7083,11.37,-0.70,1.52,2.53
7111,9.50,-5.16,0.16,2.54
7140,8.96,0.54,-0.96,2.54
7168,11.86,-2.73,-0.80,2.54
7197,13.64,-5.88,-4.20,2.54
7228,6.91,-5.69,-3.88,2.54
7257,5.68,-1.79,-2.77,2.55
7286,5.91,-3.94,-1.06,2.53
7315,13.37,-6.24,-5.18,2.53
7346,11.66,-6.09,0.32,2.54
7374,12.85,-2.58,-1.49,2.53
7405,7.74,-1.40,-0.90,2.54
7434,9.24,0.20,-3.34,2.54
7461,11.78,-0.23,-1.29,2.53
7492,9.11,-3.34,-2.61,2.54
7521,9.41,0.83,-2.53,2.54
7549,13.72,-1.58,1.23,2.54
7578,10.79,-0.00,1.05,2.55
7608,9.78,-1.38,-4.18,2.52
7636,7.49,-0.60,-1.24,2.52
7665,10.18,-2.97,-2.31,2.55
7696,6.81,-2.64,-5.41,2.55
7725,4.78,-2.11,-2.36,2.55
7754,9.71,-5.57,-5.77,2.52
7783,7.13,-0.71,-0.85,2.52
7813,9.17,-3.24,-1.61,2.54
7841,15.26,-3.34,2.41,2.55
7871,9.18,-1.27,-1.52,2.55
7900,6.07,0.14,-0.09,2.54
7927,8.25,6.61,0.76,2.54
7955,10.91,-1.03,-0.56,2.55
7985,9.79,0.57,-0.80,2.53
8013,13.55,-4.64,4.23,2.53
8042,10.58,-0.34,-0.23,2.54
8073,10.54,-2.27,-2.42,2.54
8102,4.28,-1.38,-5.73,2.54
8131,10.90,-1.32,-2.97,2.54
8162,8.39,-3.08,-3.88,2.54
8190,8.30,-2.42,-3.10,2.54
8220,6.73,-3.62,-3.56,2.54
8249,6.53,-0.03,0.16,2.52
8278,5.44,-4.90,-6.91,2.54
8306,10.28,-1.77,-4.54,2.55
8337,9.49,-0.57,-3.65,2.53
8366,9.10,-1.31,-2.71,2.55
8394,11.84,-2.05,0.64,2.54
8424,11.13,0.13,0.68,2.54
8452,7.69,1.13,-1.42,2.54
8480,10.72,-4.67,-2.48,2.54
8510,9.00,-1.90,-4.03,2.54
8540,6.85,-1.75,-4.90,2.55
8568,9.04,-3.95,-3.56,2.54
8597,9.47,-1.46,-6.00,2.55
8627,8.66,-4.87,-4.52,2.54
8655,8.40,-1.76,-4.99,2.54
8685,8.05,-2.13,-2.19,2.53
8714,5.02,-2.38,-9.60,2.55
8743,9.27,-3.51,-0.27,2.55
8772,13.03,-1.19,1.57,2.54
8801,11.00,-2.70,-1.77,2.54
8832,7.67,-4.29,-4.52,2.55
8860,9.32,-4.85,-4.26,2.53
8890,6.68,-1.35,-3.81,2.54
8919,8.00,0.06,-3.30,2.54
8947,11.51,2.27,2.07,2.55
8975,7.65,-0.72,-0.81,2.54
9005,7.27,-2.23,-2.24,2.54
9033,8.56,-2.23,-2.88,2.53
9062,12.26,-1.21,0.46,2.54
9092,15.54,-1.54,0.84,2.55
9120,12.17,1.96,-3.12,2.56
9150,4.65,2.66,-2.66,2.55
9178,5.49,0.27,-5.59,2.54
9206,13.81,-0.51,5.35,2.55
9235,18.68,-2.51,-3.11,2.53
9265,12.34,-1.00,-1.03,2.56
9295,10.45,-1.89,-3.11,2.53
9325,18.81,-6.31,-1.22,2.54
9356,10.63,-3.61,-5.08,2.53
9385,11.27,-1.60,-1.19,2.56
9416,7.92,-1.52,-3.36,2.50
9445,5.81,-3.91,-6.02,2.55
9475,7.27,0.58,0.37,2.55
9501,10.19,-1.74,0.60,2.53
9530,8.89,-0.55,1.32,2.53
9559,18.59,-1.43,4.72,2.54
9587,12.57,-3.59,2.30,2.52
9617,11.50,-1.57,1.86,2.53
9646,9.88,-2.27,-0.86,2.55
9675,15.17,-0.82,5.39,2.53
9704,13.58,-0.80,3.22,2.53
9733,11.90,-0.04,2.67,2.54
9762,7.92,-1.09,-2.21,2.55
9791,6.79,-3.10,-5.79,2.55
9821,12.12,-2.91,-1.51,2.54
9850,11.21,-4.74,-3.47,2.55
9881,9.15,-1.82,-1.54,2.53
9910,14.58,0.49,3.89,2.54
9938,8.76,-0.40,-1.55,2.54
9967,8.88,-2.28,-3.25,2.54
9996,7.25,-3.13,-4.72,2.54
10025,6.23,-0.05,-6.05,2.54
10055,7.55,-4.57,-3.87,2.57
10086,12.97,-2.09,-0.37,2.53
10117,8.60,-4.71,-5.62,2.55
10147,11.77,-1.46,-1.38,2.55
10178,12.94,-3.12,-1.19,2.55
10210,11.96,0.10,0.88,2.55
10238,11.12,-0.20,-1.96,2.54
10270,9.32,-2.15,-4.35,2.54
10300,8.26,-0.86,-4.19,2.54
10330,15.32,-0.63,6.11,2.53
10360,17.52,-2.61,6.25,2.52
10390,12.25,-4.01,-2.28,2.54
10422,10.37,2.28,-0.24,2.54
10451,9.79,-1.01,-0.79,2.54
10482,11.54,-2.70,-0.74,2.56
10513,10.16,2.83,-0.31,2.54
10544,13.77,0.17,1.65,2.54
10572,6.96,0.66,-0.14,2.54
10602,9.36,-0.99,-2.00,2.54
10632,10.15,-2.22,-2.03,2.54
10662,6.05,1.51,-1.05,2.54
10692,11.34,-3.27,-2.81,2.55
10723,8.26,-2.46,-3.35,2.56
10754,9.32,0.37,-0.76,2.53
10782,11.36,-3.20,-3.96,2.55
10814,9.56,-0.44,-1.81,2.54
10844,9.26,-3.30,-5.03,2.53
10874,9.63,-1.50,0.64,2.54
10903,10.23,2.22,-1.74,2.54
10934,10.78,-1.77,-1.13,2.54
10964,5.84,-0.67,-0.10,2.55
10994,13.79,1.61,2.17,2.53
11024,11.83,-1.08,-2.35,2.55
11055,9.25,-4.47,-2.17,2.53
11085,11.65,1.14,1.95,2.54
11114,7.96,-1.72,-5.07,2.54
11145,11.76,0.76,-0.57,2.55
11174,9.08,-2.02,-4.63,2.53
11205,8.85,-3.76,-1.56,2.53
11235,13.52,-1.71,3.74,2.53
11266,12.26,-0.77,2.38,2.52
11295,5.43,-4.58,-9.46,2.55
11325,8.13,0.34,-4.22,2.53
11355,10.86,-3.13,0.50,2.54
11384,8.88,-2.05,-2.71,2.53
11415,6.55,0.58,-3.61,2.53
11444,7.35,3.84,-0.53,2.55
11473,8.78,-1.41,-2.25,2.54
11503,5.67,-4.57,-5.45,2.54
11534,9.51,-1.51,0.48,2.53
11563,2.80,-1.91,-3.57,2.53
11592,10.08,0.13,-0.87,2.54
11623,10.75,-1.32,0.92,2.55
11653,8.40,-0.78,-0.65,2.55
11683,12.50,-2.92,-1.21,2.53
11714,9.11,-4.18,-2.13,2.55
11745,7.33,-0.35,2.33,2.54
11773,7.77,3.05,0.98,2.53
11802,9.88,-1.10,-1.16,2.54
11832,9.18,-2.52,-0.34,2.55
11862,8.78,-0.84,-2.66,2.54
11892,9.42,-2.15,-1.81,2.55
11922,10.34,-1.64,-2.18,2.54
11954,12.48,-3.43,-2.99,2.52
11984,7.62,-2.93,-1.95,2.54
12015,10.19,-2.11,-2.17,2.54
12046,8.61,-4.54,-1.92,2.53
12077,7.42,-1.54,-3.43,2.54
12106,5.94,0.35,-0.59,2.55
12136,13.10,-4.39,2.06,2.53
12166,15.31,-2.36,6.19,2.55
12195,12.96,-4.40,1.63,2.51
12226,6.91,-4.63,-6.29,2.54
12256,9.79,-3.46,-3.48,2.55
12286,8.79,0.23,-0.91,2.55
12315,10.73,-0.71,-0.83,2.54
12347,9.79,-4.41,-3.96,2.53
12377,5.94,-0.49,-4.61,2.54
12407,9.28,0.71,1.13,2.54
12435,7.63,-2.77,-3.96,2.52
12466,10.30,-2.59,-5.44,2.55
12496,12.02,-1.14,-0.75,2.54
12527,8.89,1.80,0.59,2.53
12556,14.06,-3.19,2.55,2.54
12585,7.56,-1.50,-0.17,2.53
12616,7.59,-6.41,-4.90,2.54
12646,5.35,-1.86,-1.20,2.54
12677,10.13,1.98,-0.09,2.54
12706,6.80,-2.00,-2.99,2.54
12737,8.93,-2.08,0.27,2.55
12766,6.31,-0.88,-3.57,2.54
12796,8.37,-1.97,-3.67,2.55
12826,11.08,-2.94,-1.02,2.54
12857,13.30,-3.52,-2.49,2.53
12889,6.07,-2.20,-4.27,2.53
12918,9.91,-1.86,-1.55,2.54
12949,8.71,-0.05,-0.80,2.55
12979,8.02,-0.13,-0.63,2.54
13009,10.01,-2.65,-2.79,2.54
13040,9.05,-9.43,-4.93,2.54
13071,12.89,-2.93,2.31,2.54
13101,11.99,-4.25,4.83,2.55
13131,12.69,-4.45,1.25,2.55
13161,14.64,-4.42,0.64,2.53
13191,5.74,-4.18,-3.32,2.54
13221,7.41,-1.31,-2.82,2.54
13251,9.05,4.00,-0.17,2.54
13281,10.07,0.99,1.33,2.55
13309,11.81,-2.45,-1.17,2.54
13341,15.60,-1.74,-2.47,2.55
13372,7.64,-7.16,-7.44,2.53
13403,9.67,-2.41,-2.83,2.54
13432,12.60,1.76,7.06,2.55
13462,13.62,-5.50,-3.95,2.54
13493,8.42,-3.25,-4.84,2.54
13522,6.36,-0.24,-0.42,2.53
13553,9.31,-1.92,-2.14,2.53
13583,9.23,-1.89,-1.33,2.54
13614,7.66,-1.26,-0.91,2.55
13643,7.42,3.38,1.81,2.54
13672,9.72,-3.19,-1.86,2.54
13702,12.20,-3.03,-0.70,2.54
13733,8.36,-4.79,-1.76,2.53
13763,8.72,-1.96,-3.83,2.54
13793,10.96,-3.99,-4.99,2.54
13825,3.98,0.22,-2.08,2.55
13853,9.61,-6.31,-1.40,2.54
13884,8.35,1.16,1.91,2.54
13912,11.80,-4.51,-1.42,2.53
13943,9.57,-1.41,-2.47,2.53
13973,9.35,-1.83,-2.23,2.53
14004,9.42,-2.46,-3.75,2.54
14033,7.43,-2.14,-4.10,2.54
14064,10.21,0.36,-1.64,2.54
14094,13.15,2.37,1.41,2.54
14123,12.49,-1.93,1.02,2.54
14153,11.40,1.10,1.36,2.54
14182,11.08,-1.04,-0.73,2.53
14214,7.61,-0.31,-1.71,2.55
14243,8.03,-4.91,-2.86,2.54
14274,10.19,-4.16,-0.35,2.54
14305,5.45,-1.06,-5.57,2.54
14336,6.38,-1.76,-4.32,2.54
14365,10.01,-4.35,-4.03,2.54
14397,4.71,-1.33,-3.20,2.53
14427,5.51,-3.74,-7.28,2.55
14456,10.04,-2.06,-2.17,2.53
14488,10.89,-1.49,4.62,2.56
14518,10.02,-1.71,2.03,2.55
14548,9.72,-2.39,-3.64,2.54
14578,8.02,0.56,-5.98,2.54
14608,13.38,-0.67,4.34,2.53
14638,11.71,-0.32,2.88,2.54
14668,14.02,-2.36,0.54,2.54
14698,13.21,2.39,-1.26,2.55
14729,12.12,-0.53,-0.62,2.53
14759,8.08,2.82,-7.88,2.54
14788,8.68,-1.42,-3.67,2.55
14819,9.54,-4.14,-2.87,2.54
14849,13.03,-4.23,-2.79,2.51
14880,7.17,-0.92,-2.12,2.55
14910,8.56,-0.83,-2.70,2.54
14941,8.56,-1.93,-1.43,2.53
14970,12.72,-4.42,0.39,2.53
15001,8.39,-2.51,3.18,2.54
15030,12.04,-4.36,0.24,2.54
15060,8.70,-3.19,-3.99,2.54
15090,8.87,-3.05,-2.53,2.54
15120,7.76,-0.64,-1.53,2.54
15151,10.01,1.45,-0.49,2.55
15180,10.19,-0.75,-0.33,2.53
15212,5.28,-4.99,-7.38,2.54
15242,12.77,-5.24,-2.75,2.54
15273,7.48,3.17,-1.41,2.53
15302,13.91,-3.05,-3.65,2.55
15334,9.74,-2.66,-3.74,2.54
15364,14.42,-6.60,-1.52,2.54
15395,7.36,-3.59,-3.96,2.55
15425,10.76,0.95,-3.05,2.54
15455,11.07,0.52,-4.12,2.54
15485,10.63,-1.34,-2.93,2.54
15516,12.43,-0.62,-0.47,2.54
15548,8.75,-2.89,-2.62,2.54
15578,8.34,-0.77,-3.23,2.53
15608,9.48,1.80,-1.69,2.55
15637,11.26,-1.30,0.85,2.55
15668,14.52,-2.66,3.22,2.52
15697,10.07,0.24,1.36,2.54
15727,6.81,-0.72,-5.60,2.53
15757,9.42,0.14,-1.74,2.54
15785,7.35,-1.96,-2.59,2.54
15816,10.30,-2.29,-1.69,2.52
15847,8.12,-2.58,-3.12,2.54
15878,8.78,-1.63,-3.71,2.54
15907,5.88,-2.43,-4.19,2.54
15938,7.28,0.70,-2.85,2.54
15967,6.97,-4.74,-4.79,2.53
15997,8.85,0.50,1.08,2.54
16025,6.61,0.78,-4.08,2.53
16054,7.34,-1.05,-0.05,2.53
16084,13.70,-6.15,-4.39,2.53
16115,13.62,-1.61,2.61,2.53
16146,11.61,-1.42,3.62,2.51
16176,20.53,-3.31,7.61,2.54
16206,15.09,-2.05,4.69,2.54
16236,15.02,-3.08,2.58,2.54
16267,7.17,0.20,-4.05,2.54
16295,9.98,-2.21,-3.22,2.54
16326,10.53,-1.84,-0.84,2.54
16357,11.58,0.66,0.35,2.53
16386,10.42,-2.26,-3.26,2.53
16417,8.31,-0.72,3.74,2.54
16446,15.45,-1.37,-0.55,2.53
16478,9.48,-4.62,1.08,2.53
16506,6.45,2.63,-0.75,2.54
16536,13.25,0.66,0.50,2.54
16565,10.09,0.88,2.56,2.54
16594,8.87,-3.47,0.47,2.55
16623,8.30,-4.43,-2.32,2.55
16653,6.24,-0.96,-3.49,2.53
16684,9.26,-0.81,-4.00,2.53
16713,11.96,-3.40,-3.77,2.53
16745,9.53,0.85,-0.24,2.54
16774,9.66,-1.97,-3.32,2.54
16804,10.47,0.18,-2.65,2.54
16834,10.22,2.16,-3.25,2.55
16865,5.29,-0.75,-6.21,2.54
16894,8.95,1.52,0.45,2.53
16923,3.20,-1.60,-6.22,2.55
16953,8.49,-0.35,-4.64,2.53
16983,10.26,-2.05,-1.29,2.55
17014,8.90,-0.86,-4.19,2.54
17044,9.77,-0.78,-1.33,2.53
17075,7.07,1.27,-2.32,2.53
17103,8.98,-0.33,-0.93,2.55
17134,5.76,-4.45,-7.54,2.54
17164,10.07,-0.52,-3.74,2.54
17196,8.75,-6.40,-6.08,2.55
17225,9.30,-1.09,-0.23,2.53
17256,10.17,-1.85,1.73,2.55
17286,10.70,-3.15,-0.16,2.54
17316,8.37,-5.13,-7.20,2.55
17347,13.02,0.68,-7.76,2.55
17377,7.60,2.47,2.46,2.54
17405,10.94,-6.72,1.61,2.52
17435,12.80,-4.77,-1.81,2.55
17467,15.55,-3.14,-1.47,2.53
17498,5.81,-3.74,-1.80,2.56
17528,4.38,-0.19,-5.17,2.54
17558,8.33,-4.37,3.04,2.54
17587,6.38,0.50,-0.23,2.54
17616,9.05,2.87,-2.48,2.54
17645,10.00,-1.84,0.64,2.54
17676,10.45,-2.35,-1.97,2.55
17707,9.53,1.52,-7.66,2.55
17736,8.79,-6.13,-7.15,2.53
17766,9.37,-1.44,4.15,2.54
17796,10.65,0.55,0.01,2.55
17824,5.54,-3.72,-7.20,2.53
17855,6.16,-3.68,-1.72,2.55
17885,5.82,-1.55,-5.09,2.53
17914,8.29,-0.83,-5.87,2.54
17945,8.24,0.60,-2.64,2.53
17974,7.42,-0.53,-4.40,2.53
18004,9.99,-2.48,-2.07,2.55
18034,9.97,-1.22,0.75,2.54
18064,10.41,-1.49,-3.41,2.54
18095,8.82,-0.49,-3.83,2.55
18125,11.98,-1.69,-0.85,2.55
18156,12.78,-1.79,-0.81,2.55
18188,6.89,-0.21,-7.72,2.54
18217,9.52,-3.65,-0.37,2.55
18247,13.13,-0.89,2.09,2.56
18278,8.30,-4.74,-6.32,2.54
18308,10.64,0.42,2.11,2.54
18337,14.89,-1.34,3.03,2.55
18367,8.88,1.85,-2.92,2.54
18397,12.24,3.59,2.94,2.55
18425,11.51,-3.62,-1.83,2.54
18457,9.56,0.03,-1.39,2.54
18486,11.72,-3.92,-0.11,2.54
18516,12.84,1.14,0.90,2.55
18546,9.18,-3.19,-3.67,2.54
18576,10.62,2.33,-2.26,2.53
18607,9.58,2.30,0.48,2.54
18634,12.44,-1.24,0.30,2.55
18665,12.99,-3.46,-1.73,2.54
18696,11.47,1.53,3.35,2.53
18725,9.78,-2.77,-2.04,2.54
18755,9.15,-1.81,-1.87,2.54
18785,9.58,-2.96,-4.17,2.54
18816,10.80,-1.83,-1.41,2.54
18846,9.52,-3.83,-4.33,2.51
18877,10.61,-4.57,-1.36,2.55
18908,11.41,-3.44,-1.02,2.54
18939,12.30,-2.15,-5.48,2.54
18970,12.62,-3.57,-1.90,2.55
19002,10.35,-2.88,-1.91,2.54
19033,9.15,-2.25,-2.27,2.54
19063,12.37,2.18,-0.02,2.53
19093,9.86,-3.23,-3.74,2.54
19124,9.76,-1.58,-0.44,2.53
19153,8.85,-0.90,-3.14,2.54
19183,8.31,0.06,0.29,2.55
19212,14.84,-2.57,-0.59,2.53
19243,10.70,-0.38,1.62,2.54
19273,10.28,0.22,-1.58,2.54
19303,6.99,0.51,-8.64,2.54
19333,3.71,-0.74,-11.06,2.54
19363,14.86,-3.03,5.05,2.55
19394,9.96,-5.23,-2.71,2.53
19424,7.76,-0.22,-2.49,2.53
19454,9.28,-3.35,-5.90,2.55
19484,5.57,0.32,-6.21,2.55
19513,7.95,-3.22,-7.34,2.53
19544,13.79,3.02,5.87,2.55
19572,13.15,1.52,-1.05,2.54
19603,11.43,0.57,1.28,2.54
19632,11.42,-1.01,-0.74,2.54
19663,9.22,-3.18,-1.19,2.55
19693,9.40,-3.52,0.79,2.55
19723,8.25,-2.89,-3.06,2.55
19752,10.95,-3.97,-3.94,2.54
19783,9.73,-1.73,-2.27,2.55
19814,8.49,-0.95,-3.24,2.55
19844,10.96,-0.31,-3.82,2.55
19875,7.57,0.51,-1.82,2.54
19904,11.64,-3.35,0.61,2.54
19935,13.54,-3.03,1.55,2.54
19964,6.34,4.54,-1.00,2.57
19994,3.08,0.21,0.97,2.53
20022,3.68,4.55,2.80,2.53
20050,12.91,-5.21,1.76,2.54
20080,6.19,-1.68,-2.39,2.54
20110,11.20,-0.93,-1.52,2.54
20142,11.18,-2.21,-3.36,2.54
20172,11.91,-5.27,-0.59,2.53
20204,10.90,1.09,1.16,2.54
20233,9.26,-1.46,0.85,2.54
20262,12.80,0.71,3.60,2.54
20291,17.38,9.89,-0.87,2.54
20322,-3.57,3.91,-4.07,2.54
20352,9.61,-4.04,-1.63,2.56
20381,7.73,-5.01,-3.54,2.55
20412,9.35,-2.41,0.04,2.54
20441,5.15,-4.01,-5.06,2.54
20471,12.91,-2.30,-3.46,2.54
20502,13.93,-4.50,-2.63,2.53
20534,8.41,1.41,0.29,2.56
20561,6.02,-0.96,-3.07,2.54
20592,11.87,-2.56,-5.39,2.53
20623,5.28,-2.39,-0.25,2.54
20654,9.33,0.72,-3.54,2.53
20682,13.45,0.66,-0.48,2.53
20712,7.29,-2.06,-0.96,2.55
20743,13.22,-0.28,-1.57,2.53
20773,8.80,-0.57,0.78,2.54
20803,11.17,0.91,-0.96,2.53
20833,9.64,-2.59,-5.68,2.52
20864,8.37,1.45,5.32,2.54
20891,8.19,0.22,4.76,2.53
20920,12.10,-6.52,2.29,2.55
20950,8.76,-0.19,-4.79,2.55
20979,7.55,-1.80,-4.82,2.54
21010,10.67,-2.40,-5.83,2.55
21041,12.26,-0.50,1.55,2.54
21071,10.81,-4.61,-0.03,2.54
21102,9.46,-0.32,-5.95,2.55
21133,20.29,-6.26,-11.08,2.55
21165,11.88,-1.65,6.69,2.55
21195,11.57,-2.61,1.19,2.54
21225,6.76,-0.04,2.72,2.54
21255,13.17,-4.71,-1.59,2.54
21285,11.02,4.22,3.04,2.55
21314,11.66,-1.04,-1.03,2.54
21346,9.85,-0.78,-0.24,2.52
21376,9.62,-0.65,-3.23,2.53
21406,7.42,0.33,-0.42,2.53
21435,9.07,-1.57,-2.04,2.54
21466,9.67,-2.12,-2.83,2.53
21495,9.68,-1.52,-1.24,2.53
21526,8.52,-0.17,-2.87,2.53
21556,8.88,-2.96,-3.14,2.53
21586,8.02,-1.79,-2.32,2.54
21616,5.05,-3.12,-7.05,2.53
21646,15.72,-2.68,1.56,2.52
21677,13.91,1.08,2.79,2.54
21705,11.37,-1.83,0.15,2.54
21736,3.77,-1.06,-6.44,2.54
21766,10.91,-0.55,-2.20,2.54
21797,10.83,-1.31,1.47,2.54
21827,4.78,-4.27,-3.76,2.54
21858,8.73,-0.42,-2.12,2.53
21888,9.68,-0.43,-1.09,2.54
21918,8.27,-2.95,-2.55,2.55
21948,11.65,-1.11,0.38,2.54
21978,5.21,3.46,-2.94,2.56
22007,10.60,-2.64,-1.05,2.54
22038,11.38,-1.31,-0.34,2.54
22070,11.14,3.29,-0.40,2.54
22099,4.58,-2.78,-7.27,2.54
22130,12.21,-0.84,-1.43,2.54
22161,8.82,0.66,-2.40,2.53
22191,7.17,-1.25,-5.33,2.55
22220,10.63,-2.50,-2.42,2.54
22252,11.57,-6.38,-3.28,2.53
22283,15.11,-6.53,-3.77,2.54
22315,6.51,-5.28,-3.68,2.55
22344,5.52,-5.86,-3.11,2.55
22374,13.51,-6.91,-3.17,2.55
22406,7.30,-3.91,-0.41,2.55
22435,10.89,-1.56,-1.49,2.54
22467,9.32,-2.44,-3.29,2.54
22497,7.65,4.27,0.15,2.53
22525,10.38,0.36,-4.41,2.53
22555,11.99,-2.75,-0.42,2.53
22587,6.46,-3.06,-1.51,2.56
22617,11.43,-0.90,-1.35,2.54
22648,5.83,0.78,-4.16,2.55
