Time,X,Y,Z,Sound
4770,9.70,-0.43,2.47,2.54
4798,10.66,0.29,-1.35,2.54
4828,9.12,-3.37,-2.95,2.54
4856,7.61,-2.72,-1.63,2.54
4886,10.40,-2.39,-1.02,2.54
4916,11.47,-1.82,1.97,2.54
4945,10.67,-2.34,-0.58,2.56
4975,10.61,-1.83,2.50,2.54
5004,10.47,0.94,0.46,2.53
5032,13.03,-1.66,0.39,2.54
5061,14.70,2.38,2.86,2.54
5090,9.15,0.49,-3.94,2.53
5117,9.91,-3.41,-3.52,2.54
5147,9.09,-0.87,-0.31,2.54
5176,10.26,-1.32,-1.91,2.54
5206,11.13,-1.11,-1.70,2.54
5236,10.65,-3.85,-1.87,2.53
5266,6.55,-3.11,-2.62,2.55
5296,7.06,-1.04,-7.15,2.54
5324,7.17,-2.12,-2.32,2.54
5354,7.26,0.36,1.28,2.54
5381,9.17,-1.01,-0.22,2.54
5409,14.39,1.04,4.47,2.54
5438,7.75,1.15,-0.47,2.54
5466,8.32,1.73,-2.30,2.53
5494,11.71,-0.58,1.32,2.54
5523,15.01,1.39,5.77,2.55
5552,10.54,-1.59,-1.65,2.54
5581,10.61,0.38,-2.74,2.54
5611,8.83,-3.50,-1.55,2.54
5640,5.41,-0.13,-3.93,2.54
5668,11.25,-2.71,-1.10,2.54
5699,7.15,-4.29,-3.33,2.54
5728,7.18,-3.91,-2.30,2.53
5757,13.47,0.37,1.96,2.54
5785,11.55,-0.17,0.17,2.55
5815,10.21,0.36,2.42,2.53
5842,8.60,-0.99,-2.90,2.54
5871,9.77,-2.34,-0.11,2.54
5901,13.25,-0.49,2.02,2.54
5929,15.52,0.28,3.03,2.53
5958,6.71,-2.45,-2.67,2.53
5987,5.73,-2.46,-1.77,2.53
6017,7.92,2.27,-2.90,2.54
6044,14.26,2.96,2.58,2.55
6072,11.60,-2.00,0.37,2.53
6102,8.50,-0.54,-3.83,2.55
6130,12.16,-5.04,-0.16,2.54
6161,9.37,0.10,-4.41,2.54
6189,10.81,-4.44,-1.09,2.54
6219,10.35,-2.58,-2.42,2.54
6249,10.31,-2.25,3.17,2.55
6279,14.25,-3.48,2.15,2.54
6307,3.19,-1.70,-7.95,2.55
6336,5.65,-1.19,-4.21,2.54
6366,6.65,-3.39,-5.60,2.55
6394,4.99,-2.51,-5.66,2.54
6424,3.71,2.48,-7.54,2.52
6452,15.01,-1.69,3.87,2.53
6481,11.22,-0.20,-1.75,2.53
6511,7.63,-2.57,1.19,2.54
6539,9.81,-1.48,-2.77,2.55
6568,8.19,-5.42,-4.67,2.55
6597,10.58,-1.86,-3.12,2.56
6628,11.08,-4.87,-2.07,2.54
6658,16.76,-1.03,2.25,2.54
6687,13.43,-2.77,1.35,2.55
6716,14.27,-0.30,3.74,2.53
6746,11.79,0.24,1.40,2.53
6773,10.07,0.02,-0.81,2.53
6802,7.26,0.08,0.29,2.53
6830,4.38,-2.19,-2.14,2.53
6858,10.29,-4.02,1.57,2.54
6888,1.43,-0.68,-3.86,2.56
6917,10.59,-1.42,-3.67,2.53
6947,9.52,-2.18,0.77,2.56
6975,6.53,1.53,0.82,2.54
7002,6.12,0.33,-1.58,2.52
7030,8.71,0.79,-4.01,2.53
7058,10.70,3.56,3.23,2.53
7087,10.09,-3.69,-3.81,2.53
7116,7.48,0.79,-1.20,2.54
7145,7.16,-3.31,-1.24,2.55
7174,10.13,-3.85,-2.98,2.54
7203,13.13,-5.18,1.99,2.55
7233,13.83,-1.37,1.22,2.53
7262,9.02,-3.22,-4.08,2.54
7291,6.33,-1.27,-3.08,2.52
7320,11.67,0.03,-0.48,2.54
7350,10.63,-1.13,0.11,2.54
7378,15.35,-1.40,-4.03,2.54
7409,13.13,0.07,1.02,2.54
7437,13.09,-2.32,-3.30,2.53
7467,7.20,-2.06,-4.70,2.55
7496,13.17,-3.17,-1.73,2.54
7526,8.69,5.34,1.83,2.53
7554,15.40,-3.70,-1.66,2.54
7583,6.83,-6.15,-1.85,2.53
7613,6.18,-3.84,-1.30,2.55
7642,10.61,-1.85,-1.12,2.55
7671,13.36,-3.91,-5.36,2.53
7702,9.79,-4.36,-1.25,2.54
7731,10.76,1.53,1.47,2.54
7759,9.06,-3.58,0.26,2.53
7787,11.22,0.83,-5.70,2.54
7817,7.84,-4.95,-3.69,2.54
7845,7.87,-4.74,-4.95,2.54
7875,10.48,-2.15,1.43,2.53
7904,7.59,-2.43,-6.36,2.54
7932,9.82,-6.32,-3.30,2.53
7962,9.44,-1.09,0.40,2.53
7990,15.50,-0.98,3.22,2.53
8019,12.80,1.87,1.96,2.53
8047,10.44,-0.80,-2.21,2.54
8078,16.33,-0.93,2.55,2.55
8107,7.75,1.43,1.27,2.54
8133,10.35,-1.68,-3.10,2.53
8164,4.81,-2.77,-3.00,2.54
8193,7.45,-2.24,-2.28,2.54
8222,5.66,-2.81,-4.52,2.53
8251,6.86,-0.24,0.42,2.53
8280,11.24,-1.87,-5.79,2.55
8309,10.62,0.17,-1.01,2.54
8338,10.25,3.55,3.13,2.53
8367,9.87,3.10,1.18,2.54
8393,7.44,-1.43,-1.97,2.55
8423,8.22,-0.81,-3.50,2.54
8452,16.54,-3.47,3.91,2.55
8481,12.13,-2.04,1.07,2.54
8510,12.15,-2.79,0.79,2.53
8540,12.75,-2.44,2.77,2.53
8568,8.34,-3.01,-1.95,2.53
8597,6.29,2.59,-1.02,2.54
8626,13.91,2.14,0.26,2.54
8653,8.20,-0.19,-3.05,2.54
8683,12.16,-1.30,3.03,2.53
8712,11.78,0.92,-0.73,2.54
8741,11.94,0.15,-2.08,2.53
8770,5.11,3.78,3.27,2.54
8797,12.20,-4.36,-7.26,2.52
8827,14.36,-2.33,-1.58,2.55
8857,12.76,3.19,-1.50,2.54
8887,8.63,0.19,0.98,2.54
8913,11.54,-1.65,-1.95,2.54
8944,9.41,-1.91,-1.53,2.55
8973,9.26,-1.56,-4.92,2.54
9001,10.47,-0.59,-2.85,2.55
9032,12.37,-1.37,-2.47,2.54
9062,11.26,3.12,1.83,2.54
9091,12.75,-1.69,1.45,2.53
9119,8.65,-0.98,-3.98,2.53
9149,6.12,-6.21,-5.69,2.54
9178,17.20,-3.48,4.57,2.53
9207,16.44,0.70,3.54,2.54
9235,6.39,1.24,-5.10,2.54
9263,11.91,-3.17,-3.17,2.54
9293,11.37,-0.25,1.27,2.54
9322,12.17,-1.05,-1.41,2.54
9353,13.50,-4.86,1.02,2.55
9381,11.56,-3.96,-0.01,2.54
9412,15.64,-2.60,2.35,2.55
9441,11.37,0.15,0.61,2.54
9468,5.91,-5.47,-7.46,2.53
9498,6.64,-1.67,-6.69,2.53
9527,6.20,-3.58,-3.79,2.52
9556,2.70,-0.70,-4.13,2.53
9585,10.07,-1.16,-0.38,2.52
9616,7.22,1.97,-2.91,2.54
9644,5.88,-5.25,-3.11,2.54
9673,8.01,-3.76,-3.10,2.53
9702,2.34,-3.71,-7.29,2.54
9731,2.61,-0.76,-7.63,2.54
9760,6.50,-3.05,-8.08,2.54
