"71.29,0.55,-9.76,0.23,0.59,-9.75,0.20,2.59,2.53"
"72.30,0.56,-9.80,0.30,0.53,-9.77,0.23,2.58,2.53"
"73.31,0.57,-9.81,0.28,0.58,-9.85,0.19,2.59,2.53"
"74.32,0.56,-9.77,0.23,0.62,-9.81,0.26,2.58,2.53"
"75.33,0.58,-9.72,0.22,0.51,-9.72,0.19,2.58,2.53"
"76.34,0.49,-9.79,0.17,0.54,-9.79,0.23,2.59,2.53"
"77.35,0.53,-9.83,0.22,0.50,-9.77,0.25,2.59,2.53"
"78.36,0.57,-9.75,0.29,0.46,-9.71,0.32,2.58,2.52"
"79.37,0.55,-9.70,0.22,0.53,-9.78,0.35,2.59,2.53"
"80.38,0.52,-9.69,0.22,0.64,-9.77,0.31,2.58,2.53"
"81.39,0.51,-9.69,0.26,0.47,-9.70,0.28,2.58,2.53"
"82.40,0.64,-9.79,0.22,0.52,-9.81,0.21,2.59,2.53"
"83.41,0.63,-9.84,0.23,0.58,-9.71,0.25,2.59,2.53"
"84.42,0.54,-9.93,0.23,0.57,-9.82,0.34,2.59,2.53"
"85.43,0.56,-9.72,0.25,0.61,-9.81,0.17,2.58,2.52"
"86.44,0.51,-9.79,0.15,0.51,-9.71,0.16,2.58,2.52"
"87.45,0.56,-9.78,0.28,0.59,-9.78,0.18,2.59,2.53"
"88.46,0.55,-9.71,0.25,0.55,-9.77,0.27,2.59,2.53"
"89.47,0.60,-9.78,0.24,0.61,-9.80,0.23,2.58,2.52"
"90.48,0.58,-9.77,0.29,0.56,-9.82,0.28,2.58,2.53"
"91.49,0.55,-9.72,0.33,0.62,-9.79,0.28,2.59,2.53"
"92.50,0.46,-9.70,0.29,0.62,-9.82,0.34,2.59,2.53"
"93.51,0.56,-9.67,0.28,0.50,-9.73,0.20,2.58,2.53"
"94.52,0.55,-9.90,0.19,0.51,-9.77,0.23,2.59,2.53"
"95.53,0.54,-9.79,0.27,0.53,-9.75,0.22,2.58,2.53"
"96.54,0.57,-9.75,0.20,0.58,-9.82,0.28,2.59,2.53"
"97.55,0.59,-9.85,0.28,0.59,-9.86,0.24,2.59,2.53"
"98.55,0.58,-9.78,0.26,0.58,-9.81,0.26,2.59,2.53"
"99.56,0.52,-9.66,0.29,0.62,-9.79,0.24,2.58,2.53"
"100.57,0.52,-9.81,0.24,0.62,-9.85,0.26,2.59,2.53"
"101.58,0.52,-9.74,0.24,0.56,-9.79,0.19,2.59,2.53"
"102.59,0.53,-9.79,0.29,0.62,-9.85,0.30,2.58,2.52"
"103.60,0.59,-9.75,0.25,0.58,-9.86,0.28,2.58,2.53"
"104.61,0.62,-9.75,0.19,0.56,-9.76,0.29,2.59,2.53"
"105.62,0.51,-9.77,0.25,0.57,-9.81,0.21,2.59,2.53"
"106.63,0.51,-9.80,0.29,0.57,-9.82,0.23,2.58,2.52"
"107.64,0.57,-9.78,0.32,0.50,-9.76,0.23,2.58,2.53"
"108.65,0.51,-9.77,0.23,0.52,-9.78,0.25,2.59,2.53"
"109.66,0.63,-9.74,0.26,0.50,-9.69,0.28,2.58,2.53"
"110.67,0.58,-9.84,0.22,0.57,-9.74,0.30,2.59,2.53"
"111.68,0.51,-9.84,0.23,0.52,-9.80,0.37,2.58,2.53"
"112.69,0.60,-9.78,0.27,0.58,-9.81,0.31,2.58,2.52"
"113.70,0.53,-9.79,0.20,0.53,-9.74,0.27,2.58,2.53"
"114.71,0.53,-9.81,0.24,0.57,-9.77,0.28,2.59,2.53"
"115.72,0.53,-9.73,0.20,0.54,-9.79,0.33,2.59,2.53"
"116.73,0.57,-9.74,0.27,0.55,-9.77,0.25,2.59,2.53"
"117.74,0.55,-9.79,0.24,0.61,-9.73,0.46,2.58,2.53"
"118.75,0.56,-9.81,0.18,0.52,-9.90,0.20,2.59,2.53"
"119.76,0.52,-9.80,0.31,0.58,-9.76,0.21,2.58,2.53"
"120.77,0.60,-9.80,0.28,0.53,-9.80,0.23,2.58,2.53"
"121.78,0.53,-9.76,0.26,0.59,-9.79,0.25,2.58,2.53"
"122.79,0.58,-9.74,0.33,0.51,-9.73,0.18,2.59,2.53"
"123.80,0.56,-9.73,0.25,0.56,-9.72,0.26,2.59,2.53"
"124.81,0.59,-9.65,0.28,0.57,-9.77,0.30,2.59,2.53"
"125.82,0.56,-9.79,0.32,0.58,-9.88,0.26,2.59,2.53"
"126.83,0.55,-9.71,0.27,0.55,-9.75,0.19,2.58,2.52"
"127.84,0.54,-9.75,0.15,0.68,-9.88,0.21,2.59,2.53"
"128.85,0.60,-9.74,0.22,0.58,-9.67,0.25,2.59,2.53"
"129.86,0.51,-9.81,0.21,0.56,-9.77,0.24,2.59,2.53"
"130.87,0.51,-9.72,0.23,0.58,-9.72,0.17,2.59,2.53"
"131.88,0.46,-9.89,0.09,0.53,-9.84,0.01,2.58,2.53"
"132.88,0.59,-9.71,0.29,0.57,-9.69,0.31,2.58,2.53"
"133.90,0.61,-9.80,0.25,0.49,-9.70,0.21,2.59,2.53"
"134.90,0.58,-9.81,0.27,0.54,-9.70,0.18,2.58,2.53"
"135.91,0.53,-9.82,0.24,0.58,-9.80,0.26,2.59,2.53"
"136.92,0.62,-9.78,0.24,0.57,-9.80,0.28,2.59,2.53"
"137.93,0.56,-9.73,0.28,0.50,-9.80,0.29,2.59,2.53"
"138.94,0.61,-9.82,0.27,0.46,-9.66,0.19,2.58,2.52"
"139.95,0.56,-9.70,0.28,0.57,-9.72,0.23,2.59,2.53"
"140.96,0.57,-9.90,0.23,0.62,-9.85,0.29,2.59,2.53"
"141.97,0.59,-9.78,0.27,0.55,-9.82,0.20,2.59,2.53"
"142.98,0.56,-9.90,0.30,0.59,-9.84,0.23,2.59,2.53"
"143.99,0.56,-9.71,0.23,0.49,-9.71,0.21,2.59,2.53"
"145.00,0.69,-9.78,0.27,0.53,-9.77,0.27,2.58,2.53"
"146.01,0.53,-9.85,0.19,0.55,-9.77,0.10,2.59,2.53"
"147.02,0.55,-9.77,0.18,0.58,-9.78,0.22,2.59,2.53"
"148.03,0.63,-9.82,0.19,0.56,-9.81,0.24,2.58,2.53"
"149.04,0.59,-9.78,0.28,0.58,-9.75,0.25,2.58,2.52"
"150.05,0.55,-9.82,0.27,0.58,-9.78,0.17,2.58,2.53"
"151.06,0.60,-9.74,0.34,0.53,-9.69,0.32,2.59,2.53"
"152.07,0.61,-9.81,0.21,0.55,-9.77,0.26,2.59,2.53"
"153.08,0.52,-9.79,0.31,0.53,-9.67,0.29,2.58,2.53"
"154.09,0.64,-9.76,0.26,0.62,-9.75,0.26,2.59,2.53"
"155.10,0.59,-9.85,0.31,0.59,-9.76,0.24,2.59,2.53"
"156.11,0.60,-9.90,0.23,0.57,-9.82,0.24,2.58,2.53"
"157.12,0.57,-9.72,0.20,0.56,-9.69,0.22,2.58,2.53"
"158.13,0.53,-9.84,0.23,0.56,-9.75,0.20,2.58,2.53"
"159.14,0.54,-9.77,0.19,0.58,-9.81,0.30,2.59,2.53"
"160.15,0.58,-9.86,0.21,0.55,-9.78,0.16,2.58,2.53"
"161.16,0.62,-9.77,0.26,0.62,-9.79,0.21,2.59,2.53"
"162.17,0.57,-9.79,0.26,0.54,-9.77,0.25,2.59,2.53"
"163.18,0.57,-9.78,0.20,0.52,-9.76,0.21,2.58,2.53"
"164.19,0.54,-9.84,0.26,0.65,-9.80,0.28,2.58,2.53"
"165.20,0.55,-9.73,0.22,0.51,-9.72,0.27,2.58,2.53"
"166.21,0.59,-9.77,0.25,0.53,-9.79,0.28,2.58,2.53"
"167.22,0.53,-9.83,0.26,0.57,-9.83,0.24,2.59,2.53"
"168.22,0.60,-9.76,0.23,0.57,-9.83,0.23,2.59,2.53"
"169.23,0.51,-9.76,0.20,0.58,-9.74,0.22,2.58,2.53"
"170.24,0.53,-9.69,0.17,0.53,-9.70,0.16,2.59,2.53"
"171.25,0.55,-9.80,0.24,0.56,-9.75,0.26,2.59,2.53"
"172.26,0.52,-9.73,0.27,0.57,-9.71,0.24,2.58,2.53"
"173.27,0.58,-9.84,0.23,0.51,-9.73,0.31,2.58,2.53"
"174.28,0.53,-9.66,0.33,0.52,-9.71,0.23,2.58,2.53"
"175.29,0.54,-9.79,0.20,0.51,-9.79,0.29,2.59,2.53"
"176.30,0.65,-9.85,0.25,0.62,-9.84,0.26,2.58,2.53"
"177.31,0.53,-9.86,0.18,0.62,-9.87,0.23,2.59,2.53"
"178.32,0.52,-9.72,0.25,0.66,-9.84,0.33,2.59,2.53"
